公司,公司行业,经验学历,职位,工资,位置,公司描述,职位描述（大概）,福利（大概）,福利待遇（详细）,职位描述,公司介绍
安浓长青,企业服务,1-3年大专,花卉园艺项目助理,5-6K,北京·朝阳区,企业服务未融资20-99人,"过程管理
项目助理
团队协作能力
沟通能力
园林类",,,花卉、园艺、园林相关专业毕业，了解绿植花卉生长习性，有良好的沟通能力和团队协作能力，对工作任务执行力要强，抗压能力要强，学习和领悟力要强。,安浓长青（北京）花卉科技有限公司是“安浓集团”在北京的推广中心，其核心管理团队全部由总部直派。遵守安浓统一的管理系统， 主营业务：花卉贸易、花卉租赁、景观设计。公司在北京金奇树花卉市场拥有3000平方绿植周转基地，在大兴区黄村镇拥有花卉繁育基地。通过广州安浓园艺向北京基地配送
深邦园艺,电子商务,1年以内大专,京东运营,15-30K,东莞,电子商务20-99人,"客服管理
京东运营
推广方法
店铺流量
店铺运营",,,岗位职责1、负责店铺日常维护、产品更新、能独立操作产品陈列，增强店铺吸引力和产品销量，以及各类活动的开展，并及时反馈活动效果；2、负责京东店铺促销活动报名、店铺流量引入，提升店铺转化率。3、熟悉京东商城制度的交易规则，对京东今日特价等活动有深入的了解；4、对竞争对手的品牌、价位进行研究，提出应对措施，做出可行性分析；5、制定销售推广计划，编制相关计划和预算，并对结果负责执行到位；2、负责产品信息的开发与维护，推动团队业绩增长、完成商城销售目标，提升公司品牌；3、完成店铺运营数据的记录、问题的分析，提升市场占有率；4、领导交付的其他任务； 任职资格1、有上进心，做事认真、有责任感，能与公司一起长期发展；2、有相关网店管理经验者，计算机、市场营销、电子商务等相关专业优先；3、熟悉并能熟练掌握电子商务各种推广方法和技巧以及如何提高转化率；,
菁农园艺,其他行业,3-5年大专,运营总监,30-50K,苏州·常熟市,其他行业未融资100-499人,"客服管理
金冠店
内容运营
天猫
数据敏感",包吃，节日福利，带薪年假，加班补助，员工旅游，零食下午茶，全勤奖，定期体检，年终奖，交通补助，五险一金,五险一金定期体检加班补助全勤奖年终奖带薪年假员工旅游交通补助包吃节日福利零食下午茶,一个天猫，2淘宝金冠店，销量排名行业前10，现需要一个顶级运营总监，运筹帷幄。要求:有能力敢于挑战的人，抗压能力强，适应长期加班，对数据敏感，有长远规划，擅长直钻，内容运营等，有意向可以过来聊。,创始人是阿里系出身，花卉互联网➕企业，公司创立3年，飞速发展成为行业前十名，公司快速发展，急需人才，期待您的加入！
晨皓园艺有限责任公司,建筑设计,1-3年本科,景观设计师,13-14K,贵阳,建筑设计不需要融资100-499人,"园林设计
城市规划设计
装修设计
景观设计师",,,"面对现实，不说大道理,自己的前途，自己来把握。当我们追求理想时，当然不能忽略了实际问题。最完美的是能将理想和实际相结合",贵阳日晨皓园艺有限责任公司是一家以美化居家小院景观为产业的中型公司。具体项目有；园林景观设计、园林绿化及施工、小院景观设计、制作假山、鱼池、凉亭、古建筑门楼、古建筑长廊、古建筑亭子、以及小院的各种路面铺装工程。先进的设备技术和专业人员强大的生产能力，是日晨皓园艺发展的基础。一直以来，公司先后与贵州多
新科梅园,农/林/牧/渔,在校/应届大专,园林园艺技术员，学徒,3-7K,许昌,农/林/牧/渔不需要融资20-99人,"园林
园林工程施工
园林园艺
管理
日常维护",带薪年假，包吃，员工旅游，年终奖，全勤奖，通讯补贴，股票期权，节日福利，定期体检,定期体检全勤奖年终奖股票期权带薪年假员工旅游通讯补贴包吃节日福利,园林园艺技术学习，园林日常维护与管理，园林工程施工技术学习与实践,公司创办于1995年，主要以大型树木造型，古桩盆景造型，植物造型为主，目前基地七个。
青大农业,农/林/牧/渔,不限本科,蔬菜种植园艺师,3-4K,青岛·黄岛区,农/林/牧/渔20-99人,"蔬菜种植
现代农业
园艺师
现代化农业",,,公司总部位于中国蔬菜之乡——山东潍坊寿光市，致力于打造现代化都市农场，通过现代化农业普及，改善城市人居和生活方式。现本公司青岛分公司正处于筹备阶段，诚寻有共同梦想的你一起加入，从明天起，关心粮食和蔬菜。,
品智建筑空间设计,装修装饰,不限本科,园林绿化养护园艺师,5-10K,芜湖·鸠江区,装修装饰未融资20-99人,"过程管理
园林绿化养护
园艺师
操作流程",交通补助，带薪年假，年终奖，员工旅游，股票期权，全勤奖，餐补,全勤奖年终奖股票期权带薪年假员工旅游餐补交通补助,懂得园林绿化养护知识和操作流程,
新东方技工,培训机构,1-3年不限,园艺师插花,3-4K,哈尔滨,培训机构不需要融资20-99人,"园艺
园艺师
软件
教育教学经验
职业技能",,,1.工作内容：线上网课教学，学生答疑解困，监督学生的学习情况，课时完成情况。2.任职资格：有相关技术岗位教学经验，会制作网课课件，运用网课软件，职业技能等级证书,我校成立于2001年，是经黑龙江省人社厅正规审批技工院校，全国烘焙杰出贡献单位，劳动部门职业技能鉴定站，团中央青年就业创业见习基地
湖蓝文创,文化/体育/娱乐,3-5年大专,园艺师（微景观）,5-8K,杭州·西湖区,文化/体育/娱乐不需要融资0-20人,"沟通能力
微景观
植物养护
园艺师
制作经验",年终奖，交通补助，五险一金，节日福利,五险一金年终奖交通补助节日福利,注：本岗位需要若干年的造景经验工作内容：1. 设计和制作植物微景观产品。2. 能独立指导和帮助顾客完成作品。3. 养护和种植各类植物。 4. 日常门店运营事项。任职要求：1. 有微景观制作经验，有植物养护相关经验，需要评估作品。2. 热爱植物，喜欢动手制作。3. 有良好的顾客服务意识和语言沟通能力，以及积极的工作态度和团队协作精神。4. 可接受周末和节假日工作（平时调休）。5. 能稳定工作至少1-2年以上。6. 工作地点根据住所地杭州各家门店协调。我们能给予的：1. 简单轻松的工作环境2. 与优秀的同事一起工作3. 有竞争力的薪资4. 优秀的平台，可以更多的展示自己的能力和作品,主要经验植物微景观、水族微景观、水陆景观、雨林景观等。目前已有四家分店，分别位于杭州嘉里中心、远洋乐堤港、杭州西溪龙湖和苏州诚品生活广场。门店和业务不断拓展中，期待你的加入。
植恋园艺,电子商务,3-5年大专,运营经理,12-15K,苏州,电子商务天使轮20-99人,"电子商务
电商运营
内容审核
直播
生活服务",五险一金，加班补助，定期体检，补充医疗保险，全勤奖，餐补，节日福利，员工旅游,五险一金补充医疗保险定期体检加班补助全勤奖员工旅游餐补节日福利,"JD说明：1、完成公司旗下天猫旗舰店、淘宝店及企业店、京东店日常店铺管理，完成店铺营销工作；各店宝贝日常上下架及店铺维护；2、招募网店的淘宝客，并且建立淘宝客档案，维护淘宝客关系，并协助公司社交类电商产品的运营和推广工作， 3、熟练运用直通车、钻石展位、关键词优化等推广工具引入、提升有效流量；4、对店铺日常流量数据，提升转化率如PV、UV、转化率等进行跟踪监控与分析；5、关注竞品品牌与店铺的动态，做好相应的数据采集、评估与分析；6、店铺促销活动的制定和开展，统筹各部门达成目标，分管美工、客服、运营、推广；7、能有效整合相关的运营媒介，争取与合理运用各种网络推广资源，提升推广效果；8、服从领导的战略规划与战术执行。任职资格：1、了解天猫店铺操作流程，熟悉宝贝上下架；具备一定的网店管理和策划能力，对网络营销有自己的理念；2、3年以上电子商务相关工作经验；3、熟悉店铺推广相关工具，熟悉基本的数据分析；4、具备淘宝活动(淘抢购、聚划算、)等的操作经验,懂得争取各种推广资源，有活动策划与推广及美工功底的优先考虑5、思维敏捷，富有创新精神，有良好的职业素养，能吃苦耐劳，热爱电子商务行业，有学习力与执行力，特别是执行效率；6、熟练使用各种办公软件；7、大专以上学历。",公司前身于2015年投身于绿植同城配送业务，2019年公司进行正式公司化运作，苏州植恋园艺科技有限公司于2019年8月成立，注册资本200万元，专注销售、研发设计园艺工具，新型绿植培育、新型绿植营养液，通过电商平台目前主要提供绿植同城配送、绿植摆放租赁，庭院式花园设计施工、节日礼花配送、绿化工程，花
绿创意,建筑设计,5-10年本科,景观园艺师,5-7K,上海·黄浦区,建筑设计不需要融资20-99人,"绿化工程师
建筑工程师
园艺
熟练操作cad
立体绿化",零食下午茶，年终奖，五险一金，节日福利，餐补，通讯补贴，交通补助,五险一金年终奖餐补通讯补贴交通补助节日福利零食下午茶,"岗位职责:1.	管理和统筹安排制作、生产和维护保养工作；2.	协助销售经理提供绿艺项目技术支援和提交解决方案；3.	保证材料供应的高效率和高性价比；4.	带领团队完成相关工作 ；5.	协助产品设计部完成产品研发工作；6.	熟悉行业各类产品系统和生产、安装流程和性能等；7.	制定产品使用分析报告和维护更换的专业计划；岗位要求：1.	园林或园艺大学本科以上学历 ；2.	需要五年以上工程类相关工作经验，有项目经理证书或工程师职称为优；3.	有立体绿化或相似行业从业经验为优；4.	需有动手能力和艺术触觉。熟识室外、室内不同植物品种生长和特性；5.	熟练操作CAD和其他绘图设计软件；熟练使用办公软件；6.	有良好的管理能力、团队合作和客户服务精神 。",绿创意园林（上海）有限公司已开发全新商业发展项目，城市花园农庄是上海首家以农庄为主题的亲子互动乐园。让孩子们在自然健康的环境中自由玩乐学习，培养健康积极的学习方式，寓教于乐，让孩子们在玩的过程中学习到更多自然生态科学知识，培养孩子的动手能力、探索能力、协作能力和创新能力。绿创意为员工提供专业培训
